RoomNumber;RoomCategory;Floor;Building
A1.03;Jugencoaching;1;A
A1.05;Stammklasse;1;A
A1.06;Stammklasse;1;A
A1.14;Stammklasse;1;A
A1.15;Stammklasse;1;A
A1.16;Stammklasse;1;A
A1.17;Stammklasse;1;A
A1.23;Stammklasse;1;A
A2.04;Stammklasse;2;A
A2.05;Stammklasse;2;A
A2.06;Stammklasse;2;A
A2.13;Stammklasse;2;A
A2.14;Stammklasse;2;A
A2.20;Stammklasse;2;A
A3.04;Stammklasse;3;A
A3.05;Stammklasse;3;A
A3.12;Stammklasse;3;A
A3.13;Stammklasse;3;A
A3.14;Stammklasse;3;A
A3.19;Stammklasse;3;A
AH.21;Bibliothek;E;A
AH.26;Stammklasse;E;A
AH.32;Naturwissenschaftlicher Raum;E;A
AU.04;Gymnastikraum;E;A
B1.06W;Lager;1;B
B1.07HW;Hardware-Labor;1;B
B1.08ab;Stammklasse;1;B
B1.13W;Holz- und Modellbau;1;B
B1.14W;Wartung und Instandhaltung;1;B
B1.15HW;Hardwarelabor;1;B
B2.06L;Baustelle, nicht benützen;2;B
B2.07aL;Foto- und Gamelabor;2;B
B2.07bW;Modellierwerkstätte;2;B
B2.09HW;Hardwarelabor;2;B
B2.10HW;Hardwarelabor;2;B
B2.11HW;Hardwarelabor;2;B
B3.06MF;Multifunktionslabor;3;B
B3.07MF;Multimedialabor;3;B
B3.08MF;Multifunktionslabor;3;B
B3.10MF;Multifunktionslabor;3;B
B3.11NW;Netzwerklabor;3;B
B3.12NW;Netzwerklabor;3;B
B4.07;Besprechungsraum;4;B
B4.12MF;Multimedialabor;4;B
B4.14MF;Multifunktionslabor;4;B
B4.15MF;Multifunktionslabor;4;B
B4.16MF;Multifunktionslabor;4;B
B4.17MF;Multifunktionslabor;4;B
B5.06;Stammklasse;5;B
B5.07;Stammklasse;5;B
B5.08;Stammklasse;5;B
B5.09;Stammklasse;5;B
B5.10;Stammklasse;5;B
B5.11;Stammklasse;5;B
B5.12;Stammklasse;5;B
B5.13;Stammklasse;5;B
BH.08W;Netzwerktechnik;E;B
BH.09aW;Mechanik;E;B
BH.09bW;CNC-Technik;E;B
BH.09cW;Blechbearbeitung;E;B
BH.09dW;Schweisstechnik;E;B
BH.10aW;Plasmaschneider;E;B
BH.11W;Mechanik;E;B
C1.07;Stammklasse;1;C
C1.10;Stammklasse;1;C
C1.13;Stammklasse;1;C
C1.14;Stammklasse;1;C
C1.17;Stammklasse;1;C
C2.06;Stammklasse;2;C
C2.07;Stammklasse;2;C
C2.08;Stammklasse;2;C
C2.09;Stammklasse;2;C
C2.10;Stammklasse;2;C
C2.11;Stammklasse;2;C
C2.14;Stammklasse;2;C
C3.06;Stammklasse;3;C
C3.07;Stammklasse;3;C
C3.08;Stammklasse;3;C
